log_id,biometric_id,value
1,22,61
1,23,100
1,24,54
2,22,68
2,23,93
2,24,54
3,22,62
3,23,103
3,24,50
4,22,66
4,23,99
4,24,58
5,22,82
5,23,115
5,24,63
6,22,0
6,23,104
6,24,59
7,22,70
7,23,108
7,24,63
8,22,59
8,23,112
8,24,61
9,22,62
9,23,108
9,24,65
10,1,177
10,2,67
10,3,17.2
10,4,21.6
10,5,93.345
10,6,28.575
10,7,50.8
10,8,35.56
10,9,109.22
10,10,78.74
10,11,91.44
10,12,38.1
10,13,26.67
10,14,10
10,15,15
10,16,14
10,17,13
10,18,10
10,19,12
10,20,9
11,22,53
11,23,91
11,24,60
12,22,56
12,23,101
12,24,63
13,22,64
13,23,105
13,24,62
14,1,33
14,2,8.71
14,5,24.13
14,6,10.795
14,9,50.8
14,10,46.355
14,12,31.75
15,1,179
15,2,74
15,3,17.2
15,4,21.5
15,5,100.965
15,6,28.575
15,7,55.245
15,8,37.465
15,9,115.57
15,10,86.995
15,11,95.25
15,12,38.1
15,13,26.67
15,14,19
15,15,34
15,16,14
15,17,18
15,18,12
15,19,13
15,20,15
16,22,59
16,23,103
16,24,63
17,22,53
17,23,107
17,24,66
18,2,73
18,14,18
18,15,26
18,16,15
19,2,7.26
20,22,61
20,23,103
20,24,65
21,22,97
21,23,110
21,24,71
22,22,62
22,23,106
22,24,68
23,22,59
23,23,110
23,24,66
24,22,59
24,23,92
24,24,58
25,2,70
26,2,65.4
27,2,71
28,2,67.6
29,2,66
30,2,67.2
31,22,58
31,23,102
31,24,61
32,22,83
32,23,113
32,24,64
33,22,78
33,23,105
33,24,70
34,2,69.5
35,2,66.2
36,2,68.4
37,22,66
37,23,103
37,24,63
38,2,65.2
